fyear,gvkey,p_aaer,misstate,act,ap,at,ceq,che,cogs,csho,dlc,dltis,dltt,dp,ib,invt,ivao,ivst,lct,lt,ni,ppegt,pstk,re,rect,sale,sstk,txp,txt,xint,prcc_f,dch_wc,ch_rsst,dch_rec,dch_inv,soft_assets,ch_cs,ch_cm,ch_roa,issue,bm,dpi,reoa,EBIT,ch_fcf
2006,15020,2620.5,0,893.214,301.131,1299.992,565.556,58.014,1327.994,64.311,25.194,23.487,238.468,48.498,99.421,461.672,0.0,0.0,423.576,734.436,99.421,567.425,0.0,442.165,341.47,1764.833,7.677,0.224,55.842,14.899,24.5,0.041991617,0.052409119,0.003346203,0.066983802,0.706522809,0.158483291,0.022901002,0.005754807,1,0.358941991,1.083019273,0.340129016,0.130894652,-0.035200191
1993,13062,2620.5,0,11.04,0.563,149.788,3.303,9.065,1.117,10.482,2.71,28.994,117.573,0.399,-0.68,0.0,0.0,0.0,3.838,140.985,-0.68,122.608,0.0,-10.064,1.75,1.571,0.001,0.0,-0.414,8.381,0.5,0.005985727,-0.022688124,0.007040989,0.0,0.124369108,-1.472222222,3.501693215,4.33e-06,1,0.63022324,0.151757023,-0.067188293,0.048648757,0.022679256
2013,18534,2620.5,0,0.023,0.001,0.023,0.022,0.005,0.0,8.245,0.0,0.0,0.0,0.0,-0.056,0.0,0.0,0.0,0.001,0.001,-0.056,0.0,0.0,-0.059,0.0,0.0,0.073,0.0,0.0,0.0,3.39,0.0035726965,0.026280209,0.005001114,0.0,0.782608696,0.067917957,-0.0232045695,-0.001893223,1,0.000787104,0.974302122,-2.565217391,-2.434782609,-0.0261545384999999
1991,3257,2620.5,0,182.882,77.872,1248.329,300.859,0.571,709.248,10.007,198.009,27.0,383.94,41.951,19.472,27.892,0.0,0.0,317.198,930.35,19.472,1361.781,17.12,177.373,137.795,849.568,4.533,7.221,11.064,47.359,39.25,0.019504743,-0.007382824,0.004618486,-0.002724939,0.212188454,0.032513839,0.218758679,-0.003177193,1,0.765983557,0.83643389,0.142088344,0.062399416,0.004838797
2004,140937,2620.5,0,33.679,5.991,58.721,37.994,21.657,10.11,33.354,4.51,9.9,10.14,0.917,-22.563,5.549,0.143,10.711,10.501,20.727,-22.563,13.225,0.0,-118.412,5.71,24.336,26.016,0.0,0.0,0.301,7.0,0.226096904,-0.0469021,0.01619986,0.029576737,0.535208869,1.014080879,-5.758232237,0.036794159,1,0.162730536,1.109640645,-2.016518792,-0.379114797,0.132034392
1995,28652,2620.5,0,3.57,2.071,6.508,-1.879,0.0,11.316,7.656,5.194,0.401,0.432,0.118,-4.336,2.546,0.0,0.0,7.955,8.387,-4.336,0.828,0.0,-10.127,0.996,13.317,0.22,0.0,0.0,0.688,0.5,-0.400152688,-0.334823863,-0.287490457,-0.203839023,0.951905347,0.022628205,2.003931536,-0.034325462,1,-0.490856844,1.103372175,-1.556084819,-0.560540873,0.383247901
2004,30443,2620.5,0,742.3,193.2,2058.0,1069.2,42.1,2566.7,57.69,15.8,545.1,347.7,74.6,139.2,347.3,0.7,0.0,442.4,980.8,139.2,1308.8,0.0,691.7,330.7,2906.0,4.4,14.2,-12.2,9.0,29.61,0.090161163,0.074777415,0.053195086,0.074495661,0.535082605,0.148717111,-0.273838316,-0.085975184,1,0.625921693,0.976492202,0.336103013,0.066083576,-0.123915249
1996,5565,2620.5,0,3.743,2.959,12.242,5.307,0.049,3.179,4.55,1.574,0.682,1.519,0.874,-2.96,0.108,0.0,0.0,5.416,6.935,-2.96,3.062,0.0,-38.022,3.425,7.339,2.0,0.0,0.0,0.518,3.312,-0.14362772,0.388370817,-0.088773085,0.000182849,0.886701519,0.063475813,0.130566858,-0.161309704,1,0.352166022,0.782515516,-3.105865055,-0.19947721,-0.55869446
2002,65107,2620.5,0,2.994,2.375,7.697,0.553,0.12,21.481,3.792,2.847,0.0,1.732,0.114,-0.91,2.386,0.0,0.0,5.412,7.144,-1.77,0.323,0.0,-5.247,0.481,28.838,0.0,0.0,0.0,0.473,0.08,0.065383543,0.048200837,0.011157601,0.052552301,0.959854489,0.345286022,0.181297113,-0.284426272,0,1.822916667,1.503861772,-0.681694167,-0.168507211,-0.213668061
2008,2696,2620.5,0,1756.0,413.0,26720.0,10559.0,413.0,4863.0,468.2,506.0,4433.0,7405.0,725.0,1895.0,200.0,87.0,0.0,1892.0,16161.0,1895.0,32506.0,0.0,6380.0,913.0,8482.0,54.0,75.0,650.0,375.0,44.78,0.020207254,0.009206855,0.021642089,0.001514548,0.116167665,-0.034067405,-0.165974677,-0.015403976,1,0.503625013,1.059450042,0.238772455,0.109281437,-0.019689119
2014,12216,2620.5,0,1364.713,28.221,1655.578,1331.369,1012.787,287.325,239.096,0.0,0.0,0.0,51.255,459.961,91.31,0.0,855.464,215.115,324.209,459.961,953.745,0.0,-616.637,173.34,1388.386,100.491,41.731,141.307,41.168,47.07,0.051045321,0.185238414,0.014952907,0.002174261,0.220896267,0.054469122,-0.02642711,0.038987626,1,0.118299234,1.031520343,-0.372460253,0.38804333,-0.156982077
2002,1686,2620.5,0,171.463,57.09,382.841,178.21,10.166,561.172,27.203,0.54,1.0,47.258,23.3,26.34,36.796,16.373,0.0,120.428,204.631,29.915,279.21,0.0,119.001,115.114,771.839,4.901,7.352,10.243,4.469,8.17,0.021612285,0.032183566,-0.000113643,0.001954652,0.674295595,-0.045426945,-0.036567879,0.013436897,1,0.801850145,1.028067117,0.310836614,0.116567975,-0.031683538
2009,7660,2620.5,0,0.255,1.196,0.284,-11.388,0.002,0.828,399.929,1.905,3.064,3.933,0.002,-6.344,0.016,0.0,0.0,7.512,11.445,-6.344,0.137,0.227,-67.359,0.041,1.363,0.0,0.0,0.0,2.658,0.0095,-0.999627561,1.504203875,0.001994018,-0.0777667,0.978873239,-0.242912729,-0.597960434,1.621628498,1,-2.997374139,1.0,-89.01324503,-7.016393443,0.485526549
1997,13914,2620.5,0,84.982,19.986,209.457,75.733,6.494,174.899,47.022,0.0,30.645,59.525,7.692,-75.188,43.069,0.0,0.0,65.828,133.724,-75.188,50.495,0.0,-211.595,30.636,200.158,0.464,0.0,0.038,4.037,3.25,-0.149231168,-0.279996375,-0.088655564,-0.060534413,0.830313621,0.110470475,-0.420399465,0.044995267,1,0.495565087,1.52650664,-1.010207346,-0.339511212,0.20344687
1997,61226,2620.5,0,11.591,1.778,26.107,9.539,2.128,4.348,35.775,0.594,4.75,9.391,1.354,-3.078,3.057,0.5,0.0,3.5,13.351,-3.078,6.559,0.0,-13.718,6.384,7.078,0.328,0.0,0.0,0.842,0.406,0.29244097,0.036252257,0.241879814,0.051932616,0.734324128,-0.772992886,-3.657481526,0.114214966,1,0.656745666,1.11656536,-0.525452944,-0.085647527,0.011977417
2011,149782,2620.5,0,171.963,66.488,481.792,257.095,5.608,478.542,130.076,2.016,72.805,115.653,35.871,-64.031,99.868,0.0,0.032,68.629,224.697,-64.031,820.715,0.0,-439.442,63.294,537.69,0.0,0.0,-0.067,11.38,1.01,0.011571176,-0.353164171,-0.008851795,0.038135187,0.350007887,0.002365481,0.547460944,-0.12179853,1,1.956929064,0.682527509,-0.912098997,-0.109420663,0.229239048
2013,15824,2620.5,0,7.324,0.0,49.995,39.491,3.213,2.897,28.167,3.988,0.0,0.0,0.472,-6.396,0.578,0.0,0.0,10.498,10.498,-6.396,0.133,0.006,-243.998,1.671,8.692,0.01,0.0,3.029,0.556,0.71,-0.118952428,-0.097282242,-0.043052873,-0.004348412,0.935093509,-0.041907889,0.956768175,-0.081494847,1,1.97469119,0.946826188,-4.880448045,-0.056225623,0.014931944
2005,6078,2620.5,0,1191.274,98.588,2638.196,915.347,272.897,1092.135,92.715,819.392,0.0,131.281,91.928,193.066,430.794,0.0,0.352,1202.696,1722.849,193.066,1025.707,0.0,1601.7,368.519,1993.393,23.015,41.089,53.122,23.956,33.5,0.000405079,-0.089708867,0.00406199,-0.010560853,0.707359878,-0.015772572,-0.053073284,-0.006763712,1,0.29470734,0.987761018,0.60711941,0.102397244,0.088507225
1997,14834,2620.5,0,2.408,0.685,3.026,1.351,0.16,5.154,1.493,0.036,0.024,0.068,0.285,0.06,1.079,0.0,0.0,1.607,1.675,0.07,1.366,0.0,-3.41,1.036,9.174,0.003,0.039,0.038,0.031,1.703,0.035586027,0.153770813,0.03395364,0.081945805,0.829147389,0.065179096,-0.037566953,-0.033928923,1,0.531350533,1.017582207,-1.126900198,0.045935228,-0.187071499
2010,178993,2620.5,0,1.274,0.37,10.6,10.36,0.571,1.363,43.504,0.126,0.0,0.0,0.082,2.108,0.071,0.275,0.0,0.84,0.84,2.108,8.4,0.0,5.77,0.528,6.289,0.0,0.128,0.609,0.002,1.47,-0.00255869,0.660142007,0.01394486,-0.00115141,0.177075472,0.067917957,-0.0232045695,-0.001893223,0,0.161999335,3.112818683,0.544339623,0.256509434,-0.510330711
1995,20047,2620.5,0,4.705,0.17,6.219,5.602,3.834,1.267,1.371,0.182,0.182,0.0,0.172,0.266,0.413,0.0,3.627,0.6,0.608,0.266,1.411,0.009,0.189,0.346,3.394,3.166,0.073,0.104,0.021,7.0,0.094040335,1.11692726,0.024473148,-0.003852255,0.189419521,0.479513733,0.340397558,0.037882319,1,0.58372416,0.83004104,0.030390738,0.062871844,-1.069113981
1998,66724,2620.5,0,27.186,9.421,53.829,32.468,9.157,126.818,11.061,0.897,8.0,9.359,3.711,3.828,16.352,0.0,7.989,10.318,21.361,3.828,51.779,0.0,17.623,1.265,136.899,0.052,0.0,2.204,0.357,3.85,0.020913794,0.061531325,0.01197955,0.030291724,0.33559977,0.141449076,-0.507974687,-0.05260965,1,0.762430771,1.114139582,0.327388582,0.118690669,-0.093940647
1996,9023,2620.5,0,49.369,13.875,221.174,108.214,5.471,353.68,18.061,13.668,140.842,49.717,18.812,19.124,30.6,0.0,0.0,56.935,112.96,19.124,182.041,0.0,27.933,6.991,499.442,10.853,5.577,13.854,6.106,31.25,0.028614415,0.171031002,0.015793671,0.03713061,0.545335347,0.178226235,-0.028956437,0.010531762,1,0.19173069,1.036895559,0.12629423,0.176711548,-0.147944371
2002,111486,2620.5,0,280.307,82.168,496.639,269.908,70.905,434.291,28.921,6.249,2.974,114.866,15.297,66.492,112.971,0.0,0.0,91.48,226.731,66.492,258.51,0.0,164.66,87.746,600.66,4.563,3.063,7.312,13.342,33.72,-0.171365408,0.001866789,-0.07827667,-0.135461321,0.435904148,0.300791143,-0.066169948,0.135874123,1,0.276767369,1.356965557,0.33154867,0.17547152,0.134207817
1995,2230,2620.5,0,462.916,16.667,598.469,534.07,136.902,161.436,115.826,3.358,0.0,0.0,12.928,94.106,151.465,31.159,30.834,62.099,64.399,94.106,132.697,0.0,451.284,154.055,535.159,3.85,11.295,55.563,1.116,14.0,0.088570818,0.028842612,0.024213377,0.018601331,0.637297838,0.275442832,-0.054483489,-3.6011e-05,1,0.32935487,0.74755425,0.75406412,0.251951229,-0.002635482
2013,184256,2620.5,0,229.128,10.187,278.962,38.225,197.602,263.154,121.165,1.139,175.0,177.806,11.729,-272.812,22.145,0.0,122.112,41.04,240.737,-272.812,79.065,0.0,-777.826,3.213,22.881,147.063,0.0,0.0,21.002,11.61,0.118262264,-0.175357509,0.006783671,0.060707176,0.15767022,-0.858409745,16.57380952,-0.741280309,1,0.027173031,0.970357351,-2.788286577,-0.902667747,-0.611438307
1993,9772,2620.5,0,255.847,24.763,348.386,214.466,101.561,130.286,38.683,0.702,0.0,46.0,7.884,-3.995,81.654,0.0,0.0,79.97,133.92,68.328,201.557,0.0,-89.791,67.83,220.712,0.24,9.484,0.468,6.023,8.75,-0.369625578,0.026280209,-0.059632645,0.012071757,0.530052872,0.131629124,0.854202963,0.194816148,1,0.633622005,3.003398939,-0.257734237,0.214758917,-0.0261545384999999
2010,185845,2620.5,0,0.52,0.0,0.728,-4.598,0.32,0.0,67.5,5.166,0.0,0.0,0.084,-2.508,0.0,0.0,0.0,5.326,5.326,-2.508,0.429,0.0,-5.869,0.152,0.0,0.0,0.0,0.61,0.0,5.1,0.008378217,-2.072079423,0.132854578,0.0,0.282967033,0.067917957,-0.0232045695,-0.001893223,0,-0.013356572,0.821839081,-8.061813187,-2.607142857,1.389853212
1992,3940,2620.5,0,19.536,7.585,112.658,61.301,6.422,50.176,17.513,14.388,0.0,24.995,4.147,2.682,4.662,0.0,0.0,21.973,51.314,2.682,138.869,0.0,4.842,6.967,60.403,0.0,0.0,0.29,2.955,4.0,0.001642721,0.098597304,0.009013687,-0.015022811,0.516936214,-0.037170439,-0.424272808,-0.04054606,0,0.875078513,0.907810648,0.042979638,0.052610556,-0.139690862
